doc_id,domain,type,path,title,topic,slot,question,answer_token,search_term
000,middleware,rule,middleware/request-id-propagation.rule.md,Request id propagation,request id propagation,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for request id propagation? Reply with only the value, nothing else.",mwg_71hf,request id propagation
001,routing,rule,routing/health-check-endpoints.rule.md,Health check endpoints,health check endpoints,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for health check endpoints? Reply with only the value, nothing else.",/rte86y,health check endpoints
002,errors,adr,errors/sentinel-error-definitions.adr.md,Sentinel error definitions,sentinel error definitions,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for sentinel error definitions? Reply with only the value, nothing else.",Err5R21,sentinel error definitions
003,logging,rule,logging/log-level-policy.rule.md,Log level policy,log level policy,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for log level policy? Reply with only the value, nothing else.",fld_5dew,log level policy
004,testing,rule,testing/table-driven-test-layout.rule.md,Table driven test layout,table driven test layout,build tag,"According to the project's documented conventions, what is the exact build tag for table driven test layout? Reply with only the value, nothing else.",tag_1zcy,table driven test layout
005,middleware,rule,middleware/panic-recovery.rule.md,Panic recovery,panic recovery,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for panic recovery? Reply with only the value, nothing else.",mwg_qesh,panic recovery
006,routing,rule,routing/api-version-namespacing.rule.md,API version namespacing,API version namespacing,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for API version namespacing? Reply with only the value, nothing else.",/rt0arl,API version namespacing
007,errors,adr,errors/error-wrapping-chains.adr.md,Error wrapping chains,error wrapping chains,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for error wrapping chains? Reply with only the value, nothing else.",ErrH9DL,error wrapping chains
008,logging,rule,logging/structured-field-naming.rule.md,Structured field naming,structured field naming,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for structured field naming? Reply with only the value, nothing else.",fld_65o6,structured field naming
009,testing,rule,testing/integration-build-tagging.rule.md,Integration build tagging,integration build tagging,build tag,"According to the project's documented conventions, what is the exact build tag for integration build tagging? Reply with only the value, nothing else.",tag_mmg2,integration build tagging
010,middleware,rule,middleware/cors-preflight-handling.rule.md,CORS preflight handling,CORS preflight handling,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for CORS preflight handling? Reply with only the value, nothing else.",mwg_ty7o,CORS preflight handling
011,routing,rule,routing/route-group-composition.rule.md,Route group composition,route group composition,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for route group composition? Reply with only the value, nothing else.",/rt5zin,route group composition
012,errors,adr,errors/http-status-mapping.adr.md,HTTP status mapping,HTTP status mapping,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for HTTP status mapping? Reply with only the value, nothing else.",ErrC42E,HTTP status mapping
013,logging,rule,logging/correlation-id-logging.rule.md,Correlation id logging,correlation id logging,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for correlation id logging? Reply with only the value, nothing else.",fld_i5e6,correlation id logging
014,testing,rule,testing/golden-file-fixtures.rule.md,Golden file fixtures,golden file fixtures,build tag,"According to the project's documented conventions, what is the exact build tag for golden file fixtures? Reply with only the value, nothing else.",tag_ohtn,golden file fixtures
015,middleware,rule,middleware/gzip-response-compression.rule.md,Gzip response compression,gzip response compression,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for gzip response compression? Reply with only the value, nothing else.",mwg_anmd,gzip response compression
016,routing,rule,routing/path-parameter-parsing.rule.md,Path parameter parsing,path parameter parsing,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for path parameter parsing? Reply with only the value, nothing else.",/rth4ay,path parameter parsing
017,errors,adr,errors/request-validation-errors.adr.md,Request validation errors,request validation errors,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for request validation errors? Reply with only the value, nothing else.",ErrFATO,request validation errors
018,logging,rule,logging/request-access-logging.rule.md,Request access logging,request access logging,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for request access logging? Reply with only the value, nothing else.",fld_hzek,request access logging
019,testing,rule,testing/httptest-server-usage.rule.md,Httptest server usage,httptest server usage,build tag,"According to the project's documented conventions, what is the exact build tag for httptest server usage? Reply with only the value, nothing else.",tag_3e2k,httptest server usage
020,middleware,rule,middleware/request-body-size-limit.rule.md,Request body size limit,request body size limit,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for request body size limit? Reply with only the value, nothing else.",mwg_ph4d,request body size limit
021,routing,rule,routing/trailing-slash-normalization.rule.md,Trailing slash normalization,trailing slash normalization,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for trailing slash normalization? Reply with only the value, nothing else.",/rtkdvp,trailing slash normalization
022,errors,adr,errors/panic-to-error-conversion.adr.md,Panic to error conversion,panic to error conversion,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for panic to error conversion? Reply with only the value, nothing else.",ErrT9G8,panic to error conversion
023,logging,rule,logging/sensitive-data-redaction.rule.md,Sensitive data redaction,sensitive data redaction,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for sensitive data redaction? Reply with only the value, nothing else.",fld_fzyg,sensitive data redaction
024,testing,rule,testing/shared-test-fixtures.rule.md,Shared test fixtures,shared test fixtures,build tag,"According to the project's documented conventions, what is the exact build tag for shared test fixtures? Reply with only the value, nothing else.",tag_rpne,shared test fixtures
025,middleware,rule,middleware/auth-token-extraction.rule.md,Auth token extraction,auth token extraction,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for auth token extraction? Reply with only the value, nothing else.",mwg_8wv5,auth token extraction
026,routing,rule,routing/method-not-allowed-handling.rule.md,Method not allowed handling,method not allowed handling,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for method not allowed handling? Reply with only the value, nothing else.",/rt379a,method not allowed handling
027,errors,adr,errors/error-response-envelope.adr.md,Error response envelope,error response envelope,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for error response envelope? Reply with only the value, nothing else.",ErrR4OO,error response envelope
028,logging,rule,logging/high-volume-log-sampling.rule.md,High volume log sampling,high volume log sampling,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for high volume log sampling? Reply with only the value, nothing else.",fld_txgz,high volume log sampling
029,testing,rule,testing/race-detector-policy.rule.md,Race detector policy,race detector policy,build tag,"According to the project's documented conventions, what is the exact build tag for race detector policy? Reply with only the value, nothing else.",tag_07yh,race detector policy
030,middleware,rule,middleware/rate-limiting.rule.md,Rate limiting,rate limiting,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for rate limiting? Reply with only the value, nothing else.",mwg_l7ir,rate limiting
031,routing,rule,routing/subrouter-mounting.rule.md,Subrouter mounting,subrouter mounting,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for subrouter mounting? Reply with only the value, nothing else.",/rtat0g,subrouter mounting
032,errors,adr,errors/client-versus-server-errors.adr.md,Client versus server errors,client versus server errors,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for client versus server errors? Reply with only the value, nothing else.",ErrWBW6,client versus server errors
033,logging,rule,logging/security-audit-logging.rule.md,Security audit logging,security audit logging,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for security audit logging? Reply with only the value, nothing else.",fld_jwc9,security audit logging
034,testing,rule,testing/coverage-threshold-gate.rule.md,Coverage threshold gate,coverage threshold gate,build tag,"According to the project's documented conventions, what is the exact build tag for coverage threshold gate? Reply with only the value, nothing else.",tag_nayx,coverage threshold gate
035,middleware,rule,middleware/per-request-timeout-budget.rule.md,Per request timeout budget,per request timeout budget,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for per request timeout budget? Reply with only the value, nothing else.",mwg_0kv1,per request timeout budget
036,routing,rule,routing/static-asset-serving.rule.md,Static asset serving,static asset serving,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for static asset serving? Reply with only the value, nothing else.",/rt7njf,static asset serving
037,errors,adr,errors/retryable-error-classification.adr.md,Retryable error classification,retryable error classification,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for retryable error classification? Reply with only the value, nothing else.",Err3F55,retryable error classification
038,logging,rule,logging/log-serialization-format.rule.md,Log serialization format,log serialization format,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for log serialization format? Reply with only the value, nothing else.",fld_v4y8,log serialization format
039,testing,rule,testing/slow-test-gating.rule.md,Slow test gating,slow test gating,build tag,"According to the project's documented conventions, what is the exact build tag for slow test gating? Reply with only the value, nothing else.",tag_8uza,slow test gating
040,middleware,rule,middleware/real-client-ip-resolution.rule.md,Real client IP resolution,real client IP resolution,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for real client IP resolution? Reply with only the value, nothing else.",mwg_gxrd,real client IP resolution
041,routing,rule,routing/redirect-rules.rule.md,Redirect rules,redirect rules,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for redirect rules? Reply with only the value, nothing else.",/rtycjp,redirect rules
042,errors,adr,errors/domain-error-catalog.adr.md,Domain error catalog,domain error catalog,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for domain error catalog? Reply with only the value, nothing else.",ErrNSXS,domain error catalog
043,logging,rule,logging/error-log-enrichment.rule.md,Error log enrichment,error log enrichment,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for error log enrichment? Reply with only the value, nothing else.",fld_7fe4,error log enrichment
044,testing,rule,testing/interface-mock-generation.rule.md,Interface mock generation,interface mock generation,build tag,"According to the project's documented conventions, what is the exact build tag for interface mock generation? Reply with only the value, nothing else.",tag_l1ze,interface mock generation
045,middleware,rule,middleware/csrf-protection.rule.md,CSRF protection,CSRF protection,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for CSRF protection? Reply with only the value, nothing else.",mwg_e043,CSRF protection
046,routing,rule,routing/named-route-registration.rule.md,Named route registration,named route registration,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for named route registration? Reply with only the value, nothing else.",/rte42l,named route registration
047,errors,adr,errors/context-cancellation-errors.adr.md,Context cancellation errors,context cancellation errors,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for context cancellation errors? Reply with only the value, nothing else.",Err4WFH,context cancellation errors
048,logging,rule,logging/slow-dependency-logging.rule.md,Slow dependency logging,slow dependency logging,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for slow dependency logging? Reply with only the value, nothing else.",fld_vdy8,slow dependency logging
049,testing,rule,testing/test-function-naming.rule.md,Test function naming,test function naming,build tag,"According to the project's documented conventions, what is the exact build tag for test function naming? Reply with only the value, nothing else.",tag_ufuq,test function naming
050,middleware,rule,middleware/content-negotiation.rule.md,Content negotiation,content negotiation,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for content negotiation? Reply with only the value, nothing else.",mwg_c66r,content negotiation
051,routing,rule,routing/wildcard-route-matching.rule.md,Wildcard route matching,wildcard route matching,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for wildcard route matching? Reply with only the value, nothing else.",/rtmrqt,wildcard route matching
052,errors,adr,errors/upstream-timeout-errors.adr.md,Upstream timeout errors,upstream timeout errors,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for upstream timeout errors? Reply with only the value, nothing else.",Err363P,upstream timeout errors
053,logging,rule,logging/log-file-rotation.rule.md,Log file rotation,log file rotation,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for log file rotation? Reply with only the value, nothing else.",fld_l6fc,log file rotation
054,testing,rule,testing/subtest-organization.rule.md,Subtest organization,subtest organization,build tag,"According to the project's documented conventions, what is the exact build tag for subtest organization? Reply with only the value, nothing else.",tag_cys8,subtest organization
055,middleware,rule,middleware/structured-access-logging.rule.md,Structured access logging,structured access logging,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for structured access logging? Reply with only the value, nothing else.",mwg_rbht,structured access logging
056,routing,rule,routing/host-based-routing.rule.md,Host based routing,host based routing,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for host based routing? Reply with only the value, nothing else.",/rtf4sz,host based routing
057,errors,adr,errors/not-found-handling.adr.md,Not found handling,not found handling,sentinel error identifier,"According to the project's documented conventions, what is the exact sentinel error identifier for not found handling? Reply with only the value, nothing else.",Err63Y0,not found handling
058,logging,rule,logging/distributed-trace-id-logging.rule.md,Distributed trace id logging,distributed trace id logging,structured log field key,"According to the project's documented conventions, what is the exact structured log field key for distributed trace id logging? Reply with only the value, nothing else.",fld_5faq,distributed trace id logging
059,testing,rule,testing/benchmark-conventions.rule.md,Benchmark conventions,benchmark conventions,build tag,"According to the project's documented conventions, what is the exact build tag for benchmark conventions? Reply with only the value, nothing else.",tag_vudp,benchmark conventions
060,middleware,rule,middleware/trace-span-injection.rule.md,Trace span injection,trace span injection,middleware registration group id,"According to the project's documented conventions, what is the exact middleware registration group id for trace span injection? Reply with only the value, nothing else.",mwg_3ao0,trace span injection
061,routing,rule,routing/endpoint-deprecation-sunset.rule.md,Endpoint deprecation sunset,endpoint deprecation sunset,route mount prefix,"According to the project's documented conventions, what is the exact route mount prefix for endpoint deprecation sunset? Reply with only the value, nothing else.",/rtogti,endpoint deprecation sunset
